x,y,case
0.255,0.077,0.000
0.227,-0.363,0.000
0.251,-0.107,0.000
0.253,0.336,0.000
0.239,0.609,0.000
0.260,-0.186,0.000
0.259,0.314,0.000
0.227,0.131,0.000
0.238,-0.311,0.000
0.246,-0.435,0.000
0.248,-0.190,0.000
0.251,0.182,0.000
0.252,-0.168,0.000
0.257,-0.013,0.000
0.256,0.064,0.000
0.262,-0.077,0.000
0.239,-0.125,0.000
0.260,0.085,0.000
0.258,-0.319,0.000
0.247,-0.160,0.000
0.250,0.413,0.000
0.234,-0.687,0.000
0.269,-0.216,0.000
0.242,-0.314,0.000
0.256,0.088,0.000
0.248,-0.166,0.000
0.250,-0.015,0.000
0.251,-0.083,0.000
0.267,-0.555,0.000
0.256,-0.216,0.000
0.256,-0.190,0.000
0.253,-0.013,0.000
0.259,0.324,0.000
0.255,-0.414,0.000
0.234,-0.378,0.000
0.277,0.690,0.000
0.255,-0.119,0.000
0.243,0.299,0.000
0.249,-0.368,0.000
0.250,0.020,0.000
0.246,0.380,0.000
0.246,-0.320,0.000
0.258,-0.418,0.000
0.240,-0.179,0.000
0.242,0.135,0.000
0.240,-0.191,0.000
0.233,0.118,0.000
0.256,0.106,0.000
0.270,-0.341,0.000
0.247,-0.627,0.000
0.236,-0.254,0.000
0.252,0.006,0.000
0.262,0.528,0.000
0.219,-0.144,0.000
0.245,0.033,0.000
0.235,-0.710,0.000
0.264,-0.836,0.000
0.259,0.217,0.000
0.256,-0.219,0.000
0.255,-0.299,0.000
0.242,-0.238,0.000
0.246,0.380,0.000
0.243,0.172,0.000
0.245,-0.255,0.000
0.246,0.204,0.000
0.224,0.061,0.000
0.253,-0.225,0.000
0.225,-0.040,0.000
0.243,-0.768,0.000
0.224,-0.307,0.000
0.258,-0.472,0.000
0.261,0.273,0.000
0.230,-0.029,0.000
0.253,0.217,0.000
0.252,0.279,0.000
0.255,0.226,0.000
0.269,-0.116,0.000
0.274,-0.014,0.000
0.264,0.087,0.000
0.255,-0.575,0.000
0.237,-0.038,0.000
0.242,0.048,0.000
0.251,-0.033,0.000
0.251,-0.022,0.000
0.245,-0.274,0.000
0.257,-0.174,0.000
0.252,-0.484,0.000
0.235,-0.625,0.000
0.259,0.631,0.000
0.244,-0.217,0.000
0.243,-0.568,0.000
0.256,0.163,0.000
0.244,-0.100,0.000
0.245,-0.316,0.000
0.256,-0.517,0.000
0.247,-0.020,0.000
0.248,-0.720,0.000
0.241,-0.136,0.000
0.252,0.227,0.000
0.265,0.371,0.000
0.256,0.214,0.000
0.260,0.217,0.000
0.244,0.145,0.000
0.246,-0.286,0.000
0.250,-0.291,0.000
0.237,-0.410,0.000
0.258,-0.281,0.000
0.247,0.128,0.000
0.267,-0.357,0.000
0.265,0.249,0.000
0.254,0.408,0.000
0.241,0.064,0.000
0.261,-0.225,0.000
0.248,-0.184,0.000
0.258,0.383,0.000
0.250,-0.277,0.000
0.251,-0.136,0.000
0.249,0.080,0.000
0.265,0.137,0.000
0.280,0.078,0.000
0.262,-0.734,0.000
0.259,0.141,0.000
0.253,-0.265,0.000
0.261,-0.572,0.000
0.251,0.353,0.000
0.265,0.315,0.000
0.244,-0.614,0.000
0.248,0.143,0.000
0.241,0.136,0.000
0.260,0.276,0.000
0.256,0.245,0.000
0.260,0.127,0.000
0.241,0.451,0.000
0.246,0.095,0.000
0.248,-0.082,0.000
0.264,-0.226,0.000
0.253,-0.457,0.000
0.271,0.242,0.000
0.259,0.181,0.000
0.250,-0.322,0.000
0.244,0.048,0.000
0.260,0.469,0.000
0.237,-0.221,0.000
0.235,0.161,0.000
0.236,-0.153,0.000
0.259,-0.358,0.000
0.253,0.066,0.000
0.263,-0.237,0.000
0.260,0.050,0.000
0.245,-0.323,0.000
0.271,0.053,0.000
0.250,-0.354,0.000
0.248,0.140,0.000
0.240,-0.547,0.000
0.264,-0.001,0.000
0.241,-0.475,0.000
0.246,-0.060,0.000
0.251,0.061,0.000
0.242,-0.524,0.000
0.251,0.359,0.000
0.252,-0.616,0.000
0.247,-0.234,0.000
0.247,0.192,0.000
0.239,0.178,0.000
0.235,-0.110,0.000
0.255,0.677,0.000
0.244,-0.163,0.000
0.247,-0.237,0.000
0.246,0.582,0.000
0.260,-0.067,0.000
0.254,-0.282,0.000
0.258,-0.024,0.000
0.251,-0.307,0.000
0.252,0.340,0.000
0.267,-0.052,0.000
0.240,-0.306,0.000
0.250,0.144,0.000
0.247,-0.069,0.000
0.266,-0.201,0.000
0.252,-0.234,0.000
0.255,-0.068,0.000
0.259,-0.240,0.000
0.255,0.029,0.000
0.256,-0.234,0.000
0.264,0.086,0.000
0.250,0.020,0.000
0.257,0.185,0.000
0.248,-0.218,0.000
0.246,0.238,0.000
0.242,0.121,0.000
0.258,0.291,0.000
0.255,0.224,0.000
0.243,-0.183,0.000
0.246,0.458,0.000
0.263,-0.117,0.000
0.262,0.054,0.000
0.244,0.036,0.000
0.246,-0.081,0.000
0.254,-0.364,0.000
0.257,-0.089,0.000
0.240,-0.432,0.000
0.259,-0.623,0.000
0.266,-0.388,0.000
0.268,-0.269,0.000
0.233,-0.085,0.000
0.243,-0.372,0.000
0.244,-0.865,0.000
0.250,-0.016,0.000
0.267,0.983,0.000
0.246,0.079,0.000
0.228,-0.084,0.000
0.245,-0.090,0.000
0.255,-0.251,0.000
0.257,-0.397,0.000
0.250,0.475,0.000
0.241,0.110,0.000
0.232,0.365,0.000
0.245,-0.375,0.000
0.263,0.141,0.000
0.244,-0.047,0.000
0.264,-0.649,0.000
0.240,-0.931,0.000
0.260,0.002,0.000
0.240,0.070,0.000
0.234,0.302,0.000
0.258,0.043,0.000
0.239,-0.446,0.000
0.251,-0.023,0.000
0.241,-0.054,0.000
0.242,-0.451,0.000
0.250,-0.106,0.000
0.251,0.212,0.000
0.263,-0.446,0.000
0.253,0.499,0.000
0.244,-0.113,0.000
0.254,0.519,0.000
0.238,0.229,0.000
0.247,-0.092,0.000
0.242,-0.504,0.000
0.262,-0.125,0.000
0.253,0.168,0.000
0.268,-0.087,0.000
0.263,0.028,0.000
0.246,-0.122,0.000
0.262,-0.197,0.000
0.257,0.394,0.000
0.262,-0.483,0.000
0.255,0.355,0.000
0.255,0.157,0.000
0.242,0.166,0.000
0.243,-0.140,0.000
0.251,-0.466,0.000
0.264,-0.332,0.000
0.248,-0.001,0.000
0.245,0.016,0.000
0.241,-0.427,0.000
0.252,0.210,0.000
0.255,-0.620,0.000
0.251,0.097,0.000
0.238,-0.018,0.000
0.264,-0.056,0.000
0.235,-0.936,0.000
0.267,0.277,0.000
0.264,-0.035,0.000
0.253,-0.058,0.000
0.259,-0.530,0.000
0.236,-0.411,0.000
0.257,0.471,0.000
0.276,-0.380,0.000
0.244,-0.299,0.000
0.247,0.432,0.000
0.239,-0.360,0.000
0.263,0.063,0.000
0.254,-0.323,0.000
0.254,-0.585,0.000
0.268,0.307,0.000
0.248,-0.042,0.000
0.262,-0.460,0.000
0.262,-0.116,0.000
0.249,-0.548,0.000
0.260,-0.262,0.000
0.253,-0.133,0.000
0.250,-0.110,0.000
0.244,-0.136,0.000
0.265,-0.320,0.000
0.234,-0.315,0.000
0.256,-0.070,0.000
0.253,-0.515,0.000
0.248,-0.383,0.000
0.259,-0.753,0.000
0.240,0.043,0.000
0.256,-0.034,0.000
0.245,0.433,0.000
0.242,-0.225,0.000
0.263,0.046,0.000
0.245,-0.197,0.000
0.250,-0.466,0.000
0.251,-0.167,0.000
0.248,-0.162,0.000
-0.419,0.406,1.000
-0.752,0.390,1.000
-0.797,0.378,1.000
-1.112,0.388,1.000
-0.319,0.400,1.000
-0.668,0.393,1.000
-0.412,0.427,1.000
-0.815,0.408,1.000
-0.618,0.404,1.000
-0.407,0.401,1.000
-0.345,0.398,1.000
-1.790,0.408,1.000
-0.907,0.387,1.000
-0.106,0.405,1.000
0.425,0.391,1.000
-0.650,0.372,1.000
-1.092,0.409,1.000
-0.469,0.389,1.000
-0.622,0.398,1.000
-0.943,0.391,1.000
-1.384,0.393,1.000
-0.765,0.409,1.000
-0.408,0.394,1.000
-1.105,0.401,1.000
-1.007,0.390,1.000
-0.708,0.409,1.000
-0.761,0.395,1.000
-0.458,0.404,1.000
-0.671,0.383,1.000
-1.307,0.391,1.000
-0.993,0.408,1.000
-0.652,0.409,1.000
-0.912,0.410,1.000
-0.704,0.397,1.000
-1.366,0.392,1.000
-0.789,0.389,1.000
-0.821,0.418,1.000
-0.839,0.398,1.000
-0.345,0.406,1.000
-0.235,0.411,1.000
-0.595,0.387,1.000
-1.056,0.407,1.000
-0.704,0.398,1.000
-0.856,0.403,1.000
-0.880,0.408,1.000
-0.611,0.403,1.000
-1.225,0.389,1.000
-1.118,0.382,1.000
-0.705,0.377,1.000
-0.750,0.389,1.000
-0.362,0.417,1.000
-0.971,0.399,1.000
-0.891,0.400,1.000
-0.486,0.395,1.000
-0.456,0.410,1.000
-1.139,0.414,1.000
-0.759,0.379,1.000
-0.122,0.402,1.000
-1.230,0.400,1.000
-0.376,0.399,1.000
-0.799,0.389,1.000
-0.307,0.398,1.000
-0.665,0.384,1.000
-0.405,0.406,1.000
-0.889,0.403,1.000
-0.498,0.409,1.000
-0.137,0.398,1.000
-0.736,0.391,1.000
-0.471,0.393,1.000
-0.551,0.402,1.000
-1.167,0.414,1.000
-0.460,0.415,1.000
-0.848,0.408,1.000
-0.812,0.409,1.000
-0.931,0.386,1.000
-0.684,0.406,1.000
-0.609,0.376,1.000
-0.894,0.398,1.000
-0.865,0.407,1.000
-0.768,0.398,1.000
-1.239,0.373,1.000
-0.767,0.393,1.000
-0.438,0.379,1.000
-0.701,0.402,1.000
-0.631,0.402,1.000
-0.889,0.401,1.000
-0.245,0.382,1.000
-1.352,0.403,1.000
-0.127,0.393,1.000
-0.722,0.406,1.000
-0.375,0.402,1.000
-0.812,0.390,1.000
-1.420,0.397,1.000
-1.005,0.392,1.000
-0.538,0.386,1.000
-0.775,0.398,1.000
-0.559,0.416,1.000
-0.834,0.409,1.000
-1.302,0.405,1.000
-0.687,0.404,1.000
-1.264,0.399,1.000
-0.743,0.406,1.000
-0.299,0.404,1.000
-1.009,0.417,1.000
-0.642,0.423,1.000
-1.149,0.393,1.000
-1.091,0.392,1.000
-0.740,0.402,1.000
-1.641,0.403,1.000
-0.313,0.400,1.000
-0.594,0.397,1.000
-0.852,0.369,1.000
-0.635,0.404,1.000
-0.769,0.407,1.000
-0.548,0.412,1.000
-0.438,0.396,1.000
-0.412,0.401,1.000
-0.862,0.401,1.000
-0.214,0.401,1.000
-0.917,0.388,1.000
-0.780,0.412,1.000
-0.581,0.400,1.000
-0.017,0.387,1.000
-0.858,0.419,1.000
-0.369,0.404,1.000
-1.047,0.394,1.000
-0.006,0.393,1.000
-1.287,0.395,1.000
-1.154,0.392,1.000
-1.264,0.394,1.000
-0.489,0.402,1.000
-0.487,0.401,1.000
-0.292,0.415,1.000
-0.894,0.376,1.000
-0.917,0.417,1.000
-0.845,0.409,1.000
-1.134,0.404,1.000
-1.117,0.413,1.000
-1.345,0.401,1.000
-0.815,0.403,1.000
-1.119,0.403,1.000
-0.708,0.402,1.000
-0.142,0.400,1.000
-1.172,0.404,1.000
-0.545,0.394,1.000
-0.676,0.404,1.000
-1.127,0.407,1.000
-0.347,0.396,1.000
-0.647,0.401,1.000
-0.307,0.398,1.000
-0.793,0.402,1.000
0.181,0.398,1.000
-0.688,0.412,1.000
-0.583,0.377,1.000
-0.159,0.405,1.000
-0.938,0.405,1.000
-0.408,0.387,1.000
-1.140,0.396,1.000
-1.140,0.403,1.000
-0.638,0.382,1.000
-1.162,0.390,1.000
-1.053,0.385,1.000
-0.710,0.396,1.000
-0.883,0.398,1.000
-0.368,0.398,1.000
-0.551,0.408,1.000
-0.740,0.400,1.000
-0.637,0.395,1.000
-0.639,0.394,1.000
-0.628,0.401,1.000
-1.106,0.408,1.000
-0.976,0.403,1.000
-0.537,0.406,1.000
-0.964,0.407,1.000
-0.818,0.402,1.000
-1.059,0.406,1.000
-0.891,0.383,1.000
-1.432,0.405,1.000
-0.773,0.395,1.000
-0.569,0.422,1.000
-0.494,0.399,1.000
-0.773,0.414,1.000
0.257,0.389,1.000
-0.777,0.392,1.000
-0.039,0.397,1.000
-0.639,0.401,1.000
-1.128,0.399,1.000
-0.472,0.408,1.000
-0.021,0.385,1.000
-0.834,0.414,1.000
-0.496,0.411,1.000
-1.189,0.402,1.000
-1.013,0.397,1.000
-0.872,0.391,1.000
-0.428,0.393,1.000
-0.450,0.406,1.000
-0.729,0.400,1.000
-0.856,0.397,1.000
-1.116,0.391,1.000
-0.471,0.398,1.000
-0.772,0.406,1.000
-0.681,0.388,1.000
-0.284,0.384,1.000
-1.217,0.402,1.000
-0.240,0.409,1.000
-0.645,0.400,1.000
-0.758,0.386,1.000
-0.700,0.398,1.000
-1.223,0.404,1.000
-0.812,0.420,1.000
-0.822,0.396,1.000
-0.599,0.391,1.000
-1.062,0.399,1.000
-0.546,0.385,1.000
-0.403,0.388,1.000
-0.877,0.395,1.000
-0.553,0.404,1.000
-0.611,0.399,1.000
-0.880,0.394,1.000
-0.583,0.419,1.000
-0.283,0.418,1.000
-0.903,0.395,1.000
-0.872,0.407,1.000
-0.626,0.396,1.000
-0.835,0.411,1.000
-0.163,0.405,1.000
-0.973,0.379,1.000
-0.768,0.416,1.000
-0.714,0.404,1.000
-0.727,0.406,1.000
-0.614,0.391,1.000
-0.361,0.413,1.000
-0.953,0.387,1.000
-1.189,0.394,1.000
-0.677,0.411,1.000
-0.681,0.398,1.000
-0.864,0.406,1.000
-0.605,0.403,1.000
-0.756,0.393,1.000
-0.707,0.382,1.000
-1.057,0.407,1.000
-0.306,0.406,1.000
-0.441,0.392,1.000
-0.480,0.399,1.000
-0.977,0.403,1.000
-0.702,0.400,1.000
-0.905,0.411,1.000
-0.401,0.376,1.000
-1.085,0.394,1.000
-0.545,0.390,1.000
-0.654,0.408,1.000
-0.925,0.381,1.000
-0.701,0.398,1.000
-0.342,0.387,1.000
-0.503,0.415,1.000
-0.587,0.384,1.000
-0.717,0.396,1.000
-0.915,0.394,1.000
-0.753,0.400,1.000
-1.191,0.404,1.000
-0.354,0.397,1.000
-1.181,0.410,1.000
-1.271,0.380,1.000
-0.671,0.411,1.000
-0.583,0.392,1.000
-0.816,0.407,1.000
-0.678,0.393,1.000
-0.803,0.408,1.000
-0.974,0.398,1.000
-0.441,0.401,1.000
-0.642,0.400,1.000
-0.550,0.387,1.000
-0.791,0.416,1.000
-0.406,0.403,1.000
-0.669,0.389,1.000
-0.600,0.412,1.000
-1.336,0.410,1.000
0.031,0.396,1.000
-0.802,0.407,1.000
-0.555,0.390,1.000
-0.535,0.385,1.000
-0.738,0.401,1.000
-0.374,0.400,1.000
-0.837,0.402,1.000
-0.837,0.388,1.000
-0.985,0.397,1.000
-0.419,0.401,1.000
-0.486,0.398,1.000
-0.469,0.401,1.000
-0.820,0.415,1.000
-0.917,0.392,1.000
-0.726,0.384,1.000
-0.667,0.405,1.000
-0.898,0.400,1.000
-1.458,0.406,1.000
-0.742,0.398,1.000
-1.539,0.408,1.000
-0.576,0.400,1.000
-0.917,0.400,1.000
-0.869,0.405,1.000
-0.970,0.405,1.000
-0.847,0.404,1.000
-0.947,0.399,1.000
-1.001,0.399,1.000
0.139,0.410,1.000
-1.838,0.414,1.000
-0.977,0.392,1.000
-0.625,0.395,1.000
-0.534,0.412,1.000
-0.378,0.402,1.000
-1.375,0.397,1.000
-1.091,0.403,1.000
0.061,0.391,1.000
-0.635,0.384,1.000
-0.535,0.378,1.000
-0.778,0.394,1.000
-0.869,0.394,1.000
-0.641,0.406,1.000
-0.833,0.406,1.000
-0.587,0.387,1.000
-0.524,0.403,1.000
-0.828,0.400,1.000
-0.882,0.404,1.000
-1.034,0.410,1.000
-0.732,0.413,1.000
-1.555,0.409,1.000
-0.129,0.404,1.000
-1.274,0.410,1.000
-0.938,0.383,1.000
-0.345,0.390,1.000
-0.359,0.405,1.000
-1.197,0.407,1.000
-0.680,0.407,1.000
-0.705,0.428,1.000
-0.330,0.404,1.000
-0.775,0.397,1.000
-0.069,0.402,1.000
-0.920,0.419,1.000
-0.892,0.399,1.000
-0.211,0.407,1.000
-1.144,0.384,1.000
-0.953,0.394,1.000
-0.400,0.396,1.000
-0.544,0.388,1.000
-1.212,0.406,1.000
-0.806,0.418,1.000
-0.884,0.402,1.000
-1.019,0.399,1.000
-0.798,0.401,1.000
-0.867,0.404,1.000
0.050,0.407,1.000
-0.647,0.405,1.000
-0.350,0.397,1.000
-0.590,0.406,1.000
-0.250,0.429,1.000
-0.797,0.404,1.000
-0.786,0.390,1.000
-0.801,0.393,1.000
-0.791,0.403,1.000
-0.922,0.387,1.000
-1.026,0.406,1.000
-0.845,0.402,1.000
-0.770,0.412,1.000
-0.842,0.399,1.000
-0.666,0.393,1.000
-0.377,0.404,1.000
-0.043,0.401,1.000
-0.978,0.404,1.000
-1.373,0.402,1.000
-0.324,0.395,1.000
-0.806,0.410,1.000
-1.015,0.402,1.000
-1.043,0.408,1.000
-0.777,0.403,1.000
-1.012,0.409,1.000
-1.425,0.410,1.000
-0.417,0.404,1.000
-0.686,0.395,1.000
-0.344,0.398,1.000
-0.531,0.398,1.000
-1.016,0.389,1.000
-0.713,0.414,1.000
-0.370,0.403,1.000
-0.487,0.400,1.000
-0.813,0.412,1.000
-0.349,0.389,1.000
-0.354,0.390,1.000
-0.648,0.379,1.000
-1.482,0.410,1.000
-0.712,0.388,1.000
-1.068,0.407,1.000
-1.205,0.411,1.000
-0.927,0.393,1.000
-0.371,0.396,1.000
-0.630,0.407,1.000
-0.680,0.405,1.000
-0.969,0.407,1.000
-0.761,0.410,1.000
-0.580,0.404,1.000
-0.784,0.410,1.000
-0.595,0.389,1.000
-0.486,0.395,1.000
-0.553,0.396,1.000
-0.442,0.405,1.000
-0.929,0.402,1.000
-0.660,0.407,1.000
-0.669,0.381,1.000
-1.080,0.391,1.000
-1.061,0.381,1.000
-1.297,0.403,1.000
-1.646,0.397,1.000
-1.259,0.396,1.000
-0.962,0.394,1.000
-0.925,0.416,1.000
-1.148,0.395,1.000
-0.860,0.386,1.000
-1.009,0.403,1.000
-0.505,0.409,1.000
-0.644,0.384,1.000
-0.859,0.392,1.000
-0.662,0.406,1.000
-0.313,0.419,1.000
-0.919,0.432,1.000
-0.870,0.393,1.000
-0.696,0.410,1.000
-0.876,0.403,1.000
-0.733,0.404,1.000
-0.261,0.407,1.000
-0.708,0.409,1.000
-1.062,0.400,1.000
-0.194,0.397,1.000
-0.180,0.392,1.000
-0.496,0.408,1.000
-0.800,0.387,1.000
-0.700,0.407,1.000
-0.230,0.410,1.000
-0.869,0.404,1.000
-0.916,0.409,1.000
-0.592,0.407,1.000
-0.824,0.400,1.000
-1.486,0.390,1.000
-0.281,0.397,1.000
-0.289,0.404,1.000
-0.302,0.399,1.000
-0.799,0.378,1.000
-0.787,0.395,1.000
-0.770,0.415,1.000
-1.068,0.413,1.000
-0.890,0.406,1.000
-0.173,0.397,1.000
-0.856,0.413,1.000
-0.542,0.397,1.000
-1.328,0.389,1.000
-1.146,0.372,1.000
-1.021,0.393,1.000
-1.265,0.391,1.000
-0.921,0.397,1.000
-0.397,0.393,1.000
-0.308,0.376,1.000
-1.402,0.403,1.000
-0.887,0.403,1.000
-1.114,0.383,1.000
-0.581,0.420,1.000
-0.347,0.411,1.000
-0.566,0.398,1.000
-0.763,0.382,1.000
-0.250,0.414,1.000
-0.389,0.393,1.000
-0.991,0.389,1.000
-1.068,0.397,1.000
-0.519,0.394,1.000
-0.704,0.409,1.000
-0.797,0.414,1.000
-0.791,0.391,1.000
-1.105,0.393,1.000
-0.800,0.414,1.000
-1.259,0.393,1.000
-0.660,0.397,1.000
-0.632,0.400,1.000
-1.084,0.412,1.000
-0.710,0.384,1.000
-0.641,0.383,1.000
-1.095,0.403,1.000
-0.479,0.399,1.000
-0.504,0.391,1.000
-0.853,0.410,1.000
-1.059,0.412,1.000
-0.254,0.426,1.000
-0.182,0.407,1.000
-0.852,0.411,1.000
-0.265,0.389,1.000
-0.106,0.406,1.000
-0.903,0.401,1.000
-0.681,0.424,1.000
-1.213,0.388,1.000
-0.269,0.405,1.000
-0.710,0.406,1.000
-1.434,0.407,1.000
-0.700,0.403,1.000
-0.266,0.396,1.000
0.215,0.215,2.000
-0.579,-0.579,2.000
0.239,0.239,2.000
-0.008,-0.008,2.000
-0.359,-0.359,2.000
-0.082,-0.082,2.000
0.123,0.123,2.000
0.388,0.388,2.000
0.130,0.130,2.000
0.298,0.298,2.000
0.301,0.301,2.000
-0.216,-0.216,2.000
0.429,0.429,2.000
-0.363,-0.363,2.000
0.383,0.383,2.000
0.182,0.182,2.000
0.119,0.119,2.000
-0.340,-0.340,2.000
-0.199,-0.199,2.000
-0.226,-0.226,2.000
0.506,0.506,2.000
-0.487,-0.487,2.000
0.593,0.593,2.000
0.324,0.324,2.000
-0.082,-0.082,2.000
0.414,0.414,2.000
-0.170,-0.170,2.000
-0.327,-0.327,2.000
-0.007,-0.007,2.000
-0.146,-0.146,2.000
-0.379,-0.379,2.000
0.072,0.072,2.000
-0.256,-0.256,2.000
-0.301,-0.301,2.000
-1.005,-1.005,2.000
0.029,0.029,2.000
-0.214,-0.214,2.000
-0.316,-0.316,2.000
0.358,0.358,2.000
-0.100,-0.100,2.000
-0.037,-0.037,2.000
0.475,0.475,2.000
0.750,0.750,2.000
-0.218,-0.218,2.000
0.442,0.442,2.000
0.319,0.319,2.000
